Company,Product,Version,Date,Filename,SourceRepo,RelPath,SizeBytes,Hash,ExactDupCount,FuzzyDupCount
Devin,Devin2_09-08-2025,,,Devin2_09-08-2025.md,CL4R1T4S,DEVIN/Devin2_09-08-2025.md,50811,b54a8e4db41d83bf,1,0
Devin,system,,,system.md,TheBigPromptLibrary,Devin/system.md,34710,eddbdf8ac020e692,3,0
Devin,DeepWiki Prompt,,,DeepWiki Prompt.txt,TheBigPromptLibrary,Devin AI/DeepWiki Prompt.txt,5505,6903355220d4fc27,1,0
Docker,Docker,,20250731,docker_ai_20250731.md,TheBigPromptLibrary,SystemPrompts/Docker/docker_ai_20250731.md,2748,95ec025d2ee68171,0,0
Emergent,Prompt,,,Prompt.txt,TheBigPromptLibrary,Emergent/Prompt.txt,36948,f5b09f8e42677f45,1,0
Factory,DROID,,,DROID.txt,CL4R1T4S,FACTORY/DROID.txt,16777,8d3c854263f17ada,1,0
GitHub,official-product,,,github_copilot_agent.md,chatgpt_system_prompt,prompts/official-product/github/github_copilot_agent.md,12126,84c17a6abb96ce17,0,0
Google,Gemini_Gmail_Assistant,,,Gemini_Gmail_Assistant.txt,CL4R1T4S,GOOGLE/Gemini_Gmail_Assistant.txt,4542,7aef876948ccfc7a,1,0
Google,Gemini-2.5-Pro-04-18-2025,2.5,,Gemini-2.5-Pro-04-18-2025.md,CL4R1T4S,GOOGLE/Gemini-2.5-Pro-04-18-2025.md,11987,24e632c285c5c86f,1,0
Google,Gemini_Diffusion,,,Gemini_Diffusion.md,CL4R1T4S,GOOGLE/Gemini_Diffusion.md,6541,0373df541bb01150,3,0
Google,Google,,20250804,20250804-Jules.md,TheBigPromptLibrary,SystemPrompts/Google/20250804-Jules.md,14034,53dc9df725ac90a4,0,1
Google,Google,2.0,03072025,gemini-2.0-flash-03072025.md,TheBigPromptLibrary,SystemPrompts/Google/gemini-2.0-flash-03072025.md,687,377f06f851b6a1a7,0,0
Google,Google,,20251118,20251118-Antigravity.md,TheBigPromptLibrary,SystemPrompts/Google/20251118-Antigravity.md,46176,7418dadc826e64c5,0,0
Google,Google,2.0,03072025,gemini-2.0-flash-thinking-gemini-app-03072025.md,TheBigPromptLibrary,SystemPrompts/Google/gemini-2.0-flash-thinking-gemini-app-03072025.md,6858,9e1c01af4b939184,0,0
Google,Google,2.5,20251112,20251112-gemini-2.5-flash.md,TheBigPromptLibrary,SystemPrompts/Google/20251112-gemini-2.5-flash.md,2694,165150b665ada407,0,0
Google,Google,2.5,20250723,20250723-gemini-2.5-pro-imo.md,TheBigPromptLibrary,SystemPrompts/Google/20250723-gemini-2.5-pro-imo.md,8787,470de1e2b28cfd23,0,0
Google,Google,,20251110,20251110-notebooklm.md,TheBigPromptLibrary,SystemPrompts/Google/20251110-notebooklm.md,2471,7c3ce37651e3fecb,0,0
Google,Google,1.5,12122024,gemini-advanced-pro-1.5-12122024.md,TheBigPromptLibrary,SystemPrompts/Google/gemini-advanced-pro-1.5-12122024.md,3338,9eac37da54fc63de,0,0
Google,Google,1.5,04112024,gemini-1.5-04112024.md,TheBigPromptLibrary,SystemPrompts/Google/gemini-1.5-04112024.md,1638,e3acb42849269985,0,1
Google,Google,,10202024,notebooklm-10202024.md,TheBigPromptLibrary,SystemPrompts/Google/notebooklm-10202024.md,8090,a2fa61a769fbdada,0,0
Google,Gemini-cli system prompt,,,Gemini-cli system prompt.md,TheBigPromptLibrary,Google/Gemini-cli system prompt.md,17283,9872fa282b18b61a,1,0
Google,Gemini-3-fast,,,Gemini-3-fast.md,TheBigPromptLibrary,Google/Gemini-3-fast.md,10361,a3f719ab4cc06f71,1,0
Google,google-ai-studios,,,google-ai-studios.md,TheBigPromptLibrary,Google/google-ai-studios.md,1887,9b8eda856b3d317f,1,0
Google,gemini-2.5-pro-guided-learning,2.5,,gemini-2.5-pro-guided-learning.md,TheBigPromptLibrary,Google/gemini-2.5-pro-guided-learning.md,15452,97756258376baeb3,1,0
Google,gemini-2.0-flash-webapp,2.0,,gemini-2.0-flash-webapp.md,TheBigPromptLibrary,Google/gemini-2.0-flash-webapp.md,2374,3cdd74af11246544,1,0
Google,gemini_in_chrome,,,gemini_in_chrome.md,TheBigPromptLibrary,Google/gemini_in_chrome.md,11574,8df0c054701ae98f,1,0
Google,gemini-workspace,,,gemini-workspace.md,TheBigPromptLibrary,Google/gemini-workspace.md,21232,7f488aa21234e047,1,0
Google,gemini-3-pro,,,gemini-3-pro.md,TheBigPromptLibrary,Google/gemini-3-pro.md,14197,2eab4710fa7ec5b0,1,0
Google,gemini-2.5-flash-image-preview,2.5,,gemini-2.5-flash-image-preview.md,TheBigPromptLibrary,Google/gemini-2.5-flash-image-preview.md,4875,ef03d266239979ef,1,0
Google,NotebookLM-chat,,,NotebookLM-chat.md,TheBigPromptLibrary,Google/NotebookLM-chat.md,2526,eca443e24c409c12,1,0
Google,Gemini,,,AI Studio vibe-coder.txt,TheBigPromptLibrary,Google/Gemini/AI Studio vibe-coder.txt,62552,89ce2e27647e7d76,1,0
Google,Antigravity,,,Fast Prompt.txt,TheBigPromptLibrary,Google/Antigravity/Fast Prompt.txt,40977,5abcc9d3e644042a,1,0
Google,official-product,,20250421,gemini-2-5pro-20250421.md,chatgpt_system_prompt,prompts/official-product/google/gemini-2-5pro-20250421.md,1953,aa1f22de6dca8937,0,0
Google,official-product,,,ai-studio.md,chatgpt_system_prompt,prompts/official-product/google/ai-studio.md,6541,bf3a23cf21c23938,0,0
Google,official-product,2.5,,IMO_gemini_2.5.md,chatgpt_system_prompt,prompts/official-product/google/IMO_gemini_2.5.md,5133,4ab0d6d41029d50d,0,0
Google,official-product,,,notebooklm.md,chatgpt_system_prompt,prompts/official-product/google/notebooklm.md,1485,de7926d9143b9cc9,0,0
Google,official-product,,,WritingEditor.md,chatgpt_system_prompt,prompts/official-product/google/WritingEditor.md,2652,c494a87ac98b1c94,0,0
Google,official-product,,20240603,gemini-pro-20240603.md,chatgpt_system_prompt,prompts/official-product/google/gemini-pro-20240603.md,1603,506acf4ddb57ab52,0,0
Google,official-product,,,Brainstormer.md,chatgpt_system_prompt,prompts/official-product/google/Brainstormer.md,2647,2c6bdff8ee162e40,0,0
Google,official-product,,,CodingPartner.md,chatgpt_system_prompt,prompts/official-product/google/CodingPartner.md,1935,9d3b9cbd5426b73e,0,0
Hume,Hume.ai,,05052024,05052024-system-prompt.md,TheBigPromptLibrary,SystemPrompts/Hume.ai/05052024-system-prompt.md,8690,719112ef7a8657b4,0,0
JetBrains,Prompt,,,Prompt.txt,TheBigPromptLibrary,Junie/Prompt.txt,6184,938aec594fc8155c,1,0
Leap,Prompts,,,Prompts.txt,TheBigPromptLibrary,Leap.new/Prompts.txt,52456,f47cfe695892822f,1,0
